,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent,close_date,symbol,trade_type,num_contracts,contract_multiplier,quantity
0,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:42,2936.13,36.53,106 Contracts,"02/20/2024, 08:40:02",2941.33,+1.17%,2024-02-20 08:40:02,ETHUSDT,open_long,106,0.1,10.600000000000001
1,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:24,2931.35,158.21,192 Contracts,"02/20/2024, 08:40:02",2941.35,+2.81%,2024-02-20 08:40:02,ETHUSDT,open_long,192,0.1,19.200000000000003
2,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:23,2928.66,231.96,209 Contracts,"02/20/2024, 08:40:02",2941.52,+3.78%,2024-02-20 08:40:02,ETHUSDT,open_long,209,0.1,20.900000000000002
3,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:21,2924.47,476.28,311 Contracts,"02/20/2024, 08:40:02",2941.55,+5.23%,2024-02-20 08:40:02,ETHUSDT,open_long,311,0.1,31.1
4,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:40,2588.88,3266.52,392 Contracts,"02/12/2024, 19:39:06",2674.15,+32.18%,2024-02-12 19:39:06,ETHUSDT,open_long,392,0.1,39.2
5,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:25,2583.23,1765.61,208 Contracts,"02/12/2024, 19:17:06",2670.05,+32.85%,2024-02-12 19:17:06,ETHUSDT,open_long,208,0.1,20.8
6,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:24,2580.22,2350.77,266 Contracts,"02/12/2024, 19:05:39",2670.54,+34.25%,2024-02-12 19:05:39,ETHUSDT,open_long,266,0.1,26.6
7,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:22,2576.43,2886.02,284 Contracts,"02/12/2024, 18:40:03",2679.99,+39.44%,2024-02-12 18:40:03,ETHUSDT,open_long,284,0.1,28.400000000000002
8,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 05:00:11,40740.1,126.5,24 Contracts,"01/26/2024, 06:43:00",41291.8,+12.93%,2024-01-26 06:43:00,BTCUSDT,open_long,24,0.01,0.24
9,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 05:00:02,40709.3,217.58,39 Contracts,"01/26/2024, 06:43:00",41291.8,+13.70%,2024-01-26 06:43:00,BTCUSDT,open_long,39,0.01,0.39
10,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 04:40:54,40618.9,538.57,83 Contracts,"01/26/2024, 06:43:00",41292.3,+15.97%,2024-01-26 06:43:00,BTCUSDT,open_long,83,0.01,0.8300000000000001
11,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 04:40:10,40504.3,1361.94,178 Contracts,"01/26/2024, 06:43:00",41293.9,+18.89%,2024-01-26 06:43:00,BTCUSDT,open_long,178,0.01,1.78
12,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 04:40:51,40573.2,776.58,91 Contracts,"01/26/2024, 06:28:12",41451.2,+21.03%,2024-01-26 06:28:12,BTCUSDT,open_long,91,0.01,0.91
13,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 04:40:07,40475.5,1882.21,189 Contracts,"01/26/2024, 06:28:07",41495.9,+24.60%,2024-01-26 06:28:07,BTCUSDT,open_long,189,0.01,1.8900000000000001
14,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 18:00:20,46321.3,2011.02,50 Contracts,"01/14/2024, 20:36:22",42291.7,+86.82%,2024-01-14 20:36:22,BTCUSDT,open_short,50,0.01,0.5
15,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 09:00:58,48551.9,12536.41,200 Contracts,"01/14/2024, 20:36:15",42290.0,+129.10%,2024-01-14 20:36:15,BTCUSDT,open_short,200,0.01,2.0
16,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 08:55:24,48524.5,-121.53,200 Contracts,"01/11/2024, 08:57:27",48556.1,-1.26%,2024-01-11 08:57:27,BTCUSDT,open_short,200,0.01,2.0
17,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 08:55:29,48322.4,-409.74,200 Contracts,"01/11/2024, 08:56:42",48498.2,-4.24%,2024-01-11 08:56:42,BTCUSDT,open_short,200,0.01,2.0
18,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 08:54:00,48575.4,-347.6,200 Contracts,"01/11/2024, 08:54:26",48720.0,-3.58%,2024-01-11 08:54:26,BTCUSDT,open_short,200,0.01,2.0
19,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 07:31:08,46980.0,-149.03,114 Contracts,"01/11/2024, 07:34:15",47082.5,-2.79%,2024-01-11 07:34:15,BTCUSDT,open_short,114,0.01,1.1400000000000001
20,BTCUSDT Perpetual,Isolated,Short 10.00x,2024-01-11 07:30:42,47096.1,-19.68,140 Contracts,"01/11/2024, 07:34:15",47081.9,-0.30%,2024-01-11 07:34:15,BTCUSDT,open_short,140,0.01,1.4000000000000001
21,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,2024-01-03 09:34:24,0.04,-92.2,"1,050 Contracts","01/03/2024, 09:35:11",0.04,-5.72%,2024-01-03 09:35:11,PEOPLEUSDT,open_long,1050,100.0,105000.0
22,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,2024-01-03 09:34:11,0.04,41.73,"1,214 Contracts","01/03/2024, 09:35:11",0.04,+2.29%,2024-01-03 09:35:11,PEOPLEUSDT,open_long,1214,100.0,121400.0
23,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,2024-01-03 09:30:18,0.04,11.88,"1,798 Contracts","01/03/2024, 09:30:40",0.04,+0.41%,2024-01-03 09:30:40,PEOPLEUSDT,open_long,1798,100.0,179800.0
24,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,2024-01-03 09:30:09,0.04,253.89,"1,246 Contracts","01/03/2024, 09:30:40",0.04,+13.29%,2024-01-03 09:30:40,PEOPLEUSDT,open_long,1246,100.0,124600.0
25,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,2024-01-03 09:30:07,0.04,374.81,"1,202 Contracts","01/03/2024, 09:30:40",0.04,+20.80%,2024-01-03 09:30:40,PEOPLEUSDT,open_long,1202,100.0,120200.0
26,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-03 06:01:38,42523.3,-366.83,132 Contracts,"01/03/2024, 06:02:35",42287.8,-6.54%,2024-01-03 06:02:35,BTCUSDT,open_long,132,0.01,1.32
27,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 09:38:07,42672.2,3433.55,169 Contracts,"01/01/2024, 18:15:16",44756.2,+47.61%,2024-01-01 18:15:16,BTCUSDT,open_long,169,0.01,1.69
28,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 04:53:49,42750.0,981.2,50 Contracts,"01/01/2024, 18:15:16",44756.2,+45.90%,2024-01-01 18:15:16,BTCUSDT,open_long,50,0.01,0.5
29,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 04:54:33,42745.0,983.7,50 Contracts,"01/01/2024, 18:15:16",44756.2,+46.02%,2024-01-01 18:15:16,BTCUSDT,open_long,50,0.01,0.5
30,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 04:39:05,42700.1,3001.45,200 Contracts,"01/01/2024, 18:02:22",44244.4,+35.14%,2024-01-01 18:02:22,BTCUSDT,open_long,200,0.01,2.0
31,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 04:40:56,42700.0,1917.42,126 Contracts,"01/01/2024, 18:02:02",44265.4,+35.63%,2024-01-01 18:02:02,BTCUSDT,open_long,126,0.01,1.26
32,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-01 05:11:28,42771.9,-5.23,22 Contracts,"01/01/2024, 06:44:16",42773.8,-0.56%,2024-01-01 06:44:16,BTCUSDT,open_long,22,0.01,0.22
33,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 21:35:44,42419.9,-2.74,2 Contracts,"12/31/2023, 21:43:58",42300.0,-3.23%,2023-12-31 21:43:58,BTCUSDT,open_long,2,0.01,0.02
34,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 19:49:29,42725.0,-400.96,89 Contracts,"12/31/2023, 21:43:58",42300.0,-10.55%,2023-12-31 21:43:58,BTCUSDT,open_long,89,0.01,0.89
35,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 19:49:19,42704.1,-214.81,50 Contracts,"12/31/2023, 21:43:58",42300.0,-10.06%,2023-12-31 21:43:58,BTCUSDT,open_long,50,0.01,0.5
36,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 19:48:21,42686.9,-420.71,102 Contracts,"12/31/2023, 21:43:58",42300.0,-9.67%,2023-12-31 21:43:58,BTCUSDT,open_long,102,0.01,1.02
37,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 19:41:35,42731.3,-835.97,183 Contracts,"12/31/2023, 21:43:58",42300.0,-10.70%,2023-12-31 21:43:58,BTCUSDT,open_long,183,0.01,1.83
38,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-31 19:41:33,42693.0,-778.56,186 Contracts,"12/31/2023, 21:43:58",42300.0,-9.81%,2023-12-31 21:43:58,BTCUSDT,open_long,186,0.01,1.86
39,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-25 18:03:53,75.693,182.59,"1,447 Contracts","12/25/2023, 18:05:32",77.001,+8.33%,2023-12-25 18:05:32,ORDIUSDT,open_long,1447,0.1,144.70000000000002
40,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-25 18:03:51,75.43,276.85,"1,795 Contracts","12/25/2023, 18:05:32",77.018,+10.22%,2023-12-25 18:05:32,ORDIUSDT,open_long,1795,0.1,179.5
41,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-23 18:04:11,43697.3,-144.46,25 Contracts,"12/24/2023, 16:14:45",43158.6,-13.23%,2023-12-24 16:14:45,BTCUSDT,open_long,25,0.01,0.25
42,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-23 18:04:03,43686.9,-141.86,25 Contracts,"12/24/2023, 16:14:45",43158.6,-12.99%,2023-12-24 16:14:45,BTCUSDT,open_long,25,0.01,0.25
43,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-22 00:45:16,43979.1,-453.9,50 Contracts,"12/24/2023, 16:14:45",43158.6,-20.65%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
44,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-22 00:45:10,43966.1,-447.4,50 Contracts,"12/24/2023, 16:14:45",43158.6,-20.36%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
45,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 17:17:20,43522.1,-194.76,50 Contracts,"12/24/2023, 16:14:45",43158.6,-8.95%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
46,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 17:17:15,43508.2,-187.84,50 Contracts,"12/24/2023, 16:14:45",43158.6,-8.64%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
47,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:50:27,42840.0,455.06,151 Contracts,"12/24/2023, 16:14:45",43158.6,+7.03%,2023-12-24 16:14:45,BTCUSDT,open_long,151,0.01,1.51
48,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:46:39,42801.5,523.54,154 Contracts,"12/24/2023, 16:14:45",43158.6,+7.94%,2023-12-24 16:14:45,BTCUSDT,open_long,154,0.01,1.54
49,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:03,111.95,182.78,88 Contracts,"12/24/2023, 02:12:08",114.15,+18.55%,2023-12-24 02:12:08,SOLUSDT,open_long,88,1.0,88.0
50,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:01,111.83,199.94,91 Contracts,"12/24/2023, 02:12:08",114.15,+19.64%,2023-12-24 02:12:08,SOLUSDT,open_long,91,1.0,91.0
51,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:00,111.71,361.54,155 Contracts,"12/24/2023, 02:12:08",114.16,+20.88%,2023-12-24 02:12:08,SOLUSDT,open_long,155,1.0,155.0
52,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:49:32,42840.0,1248.79,98 Contracts,"12/20/2023, 08:31:10",44131.8,+29.74%,2023-12-20 08:31:10,BTCUSDT,open_long,98,0.01,0.98
53,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:47:58,42851.4,1211.72,95 Contracts,"12/20/2023, 08:31:07",44153.0,+29.76%,2023-12-20 08:31:07,BTCUSDT,open_long,95,0.01,0.9500000000000001
54,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:48:00,42862.3,976.15,77 Contracts,"12/20/2023, 08:30:29",44156.2,+29.57%,2023-12-20 08:30:29,BTCUSDT,open_long,77,0.01,0.77
55,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:11,42391.7,-55.54,29 Contracts,"12/19/2023, 11:05:30",42225.6,-3.92%,2023-12-19 11:05:30,BTCUSDT,open_long,29,0.01,0.29
56,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:08,42365.9,-114.2,69 Contracts,"12/19/2023, 11:05:30",42225.8,-3.31%,2023-12-19 11:05:30,BTCUSDT,open_long,69,0.01,0.6900000000000001
57,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:06,42370.5,-118.8,70 Contracts,"12/19/2023, 11:05:30",42226.1,-3.41%,2023-12-19 11:05:30,BTCUSDT,open_long,70,0.01,0.7000000000000001
58,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:05,42353.5,-176.84,117 Contracts,"12/19/2023, 11:05:30",42227.7,-2.97%,2023-12-19 11:05:30,BTCUSDT,open_long,117,0.01,1.17
59,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:02,42296.1,-138.36,148 Contracts,"12/19/2023, 11:05:30",42227.9,-1.62%,2023-12-19 11:05:30,BTCUSDT,open_long,148,0.01,1.48
60,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:00,42293.6,-154.05,171 Contracts,"12/19/2023, 11:05:30",42228.9,-1.54%,2023-12-19 11:05:30,BTCUSDT,open_long,171,0.01,1.71
61,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:12:32,43184.6,-4.98,4 Contracts,"12/18/2023, 20:23:35",43086.2,-2.88%,2023-12-18 20:23:35,BTCUSDT,open_long,4,0.01,0.04
62,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:13,43180.2,-57.55,48 Contracts,"12/18/2023, 20:23:35",43086.2,-2.78%,2023-12-18 20:23:35,BTCUSDT,open_long,48,0.01,0.48
63,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:12,43170.1,-80.14,73 Contracts,"12/18/2023, 20:23:35",43086.2,-2.55%,2023-12-18 20:23:35,BTCUSDT,open_long,73,0.01,0.73
